      1 | twitter  | earthquake | annwwaarrr             |   131 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    184 | twitter  | earthquake | QuakesToday            |   909 | 2.9 magnitude earthquake. puerto rico region. details @ http://t.co/t6y8yjpi                                                                
    185 | twitter  | earthquake | NewlywedGiggles        |   227 | a hurricane, an earthquake and now snow..... in nj! give us a break mother nature... please!                                                
    186 | twitter  | earthquake | ImanRocks              |   452 | rt @lorraine_star: that nigga beyonce talking about her humatarian shit all year. did she help the earthquake victims?                      
    187 | twitter  | lindol   | ohohjek                |   298 | dear baguio, wag mo namang araw arawin ang lindol. kaloka! ang lakas nung kanina ha.                                                        
    188 | twitter  | gempa bumi | sintaasintaa           |   466 | tp bkn di posko upn kan ? hahahaa rt @wahyubran: barack obama dulu dilahirkan di pengungsian waktu ada gempa bumi. istrinya triak2 "barak e 
    189 | twitter  | earthquake | YoungFlorenz           |   523 | making hoes wobble like a bridge in an earthquake                                                                                           
    190 | twitter  | earthquake | naneeezy               |   172 | just woke up from an earthquake i swear if i'm tripping i'm gonna shoot everyone...                                                         
    191 | twitter  | earthquake | BCasey25               |   150 | rt @mariah_ann27: coach just kicked the crap outta katie during the earthquake drill for tapping on his shoe! funniest thing ever! @_kat ...
    192 | twitter  | earthquake | oohhhmichellee         |   217 | there's an earthquake..oh wait no that's my stomach growling \ue40d                                                                         
    193 | twitter  | earthquake | Dheerajrinwa           |     0 | obama wins and there's earthquake in iran. looks like iranian gods are telling their people " get up folks, its four more years"            
    194 | twitter  | earthquake | henrii_xx              |   186 | rt @lorraine_star: that nigga beyonce talking about her humatarian shit all year. did she help the earthquake victims?                      
    195 | twitter  | earthquake | xo_BellaNelle          |   130 | hurricane, earthquake and now a snow storm all in two weeks time. kiss mi neck                                                              
    196 | twitter  | terremot | FuEditions             |   271 | terremoto                                                                                                                                   
    197 | twitter  | terremot | GerardoFV              |   725 | jule jule jule terremoto.                                                                                                                   
    198 | twitter  | deprem   | DepremOlduMu           |   761 | 07 kas 18:21 iran b\xf6lgesinde 3.7 b\xfcy\xfckl\xfc\u011f\xfcnde #deprem oldu  #kandilli http://t.co/vrlyqv8y                              
    199 | twitter  | earthquake | adammbaker             |    92 | holy shit, huge earthquake just now                                                                                                         
    200 | twitter  | earthquake | GM533                  |   164 | earthquake:  m 2.0, tennessee: november 07, 2012 04:25:36 gmt http://t.co/zhr3oax5                                                          
    201 | twitter  | terremot | Dennyspc               |    40 | terremoto!!!!!!                                                                                                                             
    202 | twitter  | earthquake | North_GA               |   236 | earthquake: m 2.0, tennessee: november 07, 2012 04:25:36 gmt http://t.co/qviuxceg                                                           
    203 | twitter  | terremot | Jocaloca               |   770 | terremoto es esto!!                                                                                                                         
    204 | twitter  | terremot | oswallcruise           |   127 | este es terremoto!                                                                                                                          
    205 | twitter  | terremot | GabrielAldana_         |   348 | terremoto no?                                                                                                                               
    206 | twitter  | terremot | Joakimnsen             |   190 | terremoto!                                                                                                                                  
    207 | twitter  | terremot | pdag25                 |   690 | temblor o terremoto?                                                                                                                        
    208 | twitter  | terremot | PotterClubo            |  1663 | terremoto!!                                                                                                                                 
    209 | twitter  | earthquake | KHQLocalNews           |  7580 | just in: 4.2-magnitude quake reported off ore.-calif. coast http://t.co/kn4irh0v #earthquake                                                
    210 | twitter  | terremot | jhony88                |   730 | terremoto!!!!!                                                                                                                              
    211 | twitter  | terremot | AleSashaHerdz          |    98 | eso terremoto!                                                                                                                              
    212 | twitter  | terremot | cHiBi_aLiEn            |   158 | este es un terremoto...                                                                                                                     
    213 | twitter  | terremot | edgarcalderon_         |   257 | apuesto que fue terremoto.                                                                                                                  
    214 | twitter  | earthquake | Nachivirix             |    58 | earthquake!!!!!!!                                                                                                                           
    215 | twitter  | terremot | oswallcruise           |   127 | que largoooooo esta este terremoto !no para                                                                                                 
    216 | twitter  | terremot | tutuista               |  3142 | solo espero eso no haya sido un terremoto en algun lado!!                                                                                   
    217 | twitter  | terremot | SergioVanVelden        |   277 | terremoto                                                                                                                                   
    218 | twitter  | terremot | aldo_arias             |   291 | verga terremoto!                                                                                                                            
    219 | twitter  | terremot | MaLu_Nochez            |   566 | esto como que ya lleg\xf3 a terremoto, casi.                                                                                                
    220 | twitter  | terremot | delilusionista         |   131 | un nuevo terremoto en el noroeste de ir\xe1n causa decenas de heridos http://t.co/thzeijiu                                                  
    221 | twitter  | earthquake | sagarr                 |   205 | nothing helps quick start your morning like a small earthquake. #elsalvador                                                                 
    222 | twitter  | earthquake | dontsiaopls            |   285 | rt @briansbadluck: tries to shave his balls. earthquake.                                                                                    
    223 | twitter  | terremot | ThaThing1              |   215 | pense que iva a ser terremoto u.u                                                                                                           
    224 | twitter  | terremot | luisffz                |    90 | eso fue terremoto.                                                                                                                          
    225 | twitter  | terremot | GerardoCazaares        |   319 | ala verga ese fue terremoto                                                                                                                 
    226 | twitter  | earthquake | tim_stone              |    95 | @da5is same earthquake.                                                                                                                     
    227 | twitter  | terremot | FabiolaLago            |   440 | "passei pelo terremoto no jap\xe3o. as pessoas se organizavam por conta de um prop\xf3sito comum" ^fl                                       
    228 | twitter  | earthquake | Info4Alerts            |   249 | 2.9 earthquake, puerto rico regiondepth 21.7 miles)2 hours, 22 minutes ago http://t.co/faxl9azl #eq #tsunami #wx #weather #radar #news -    
    229 | twitter  | terremot | monsterrh              |   477 | "passei pelo terremoto no jap\xe3o. as pessoas se organizavam por conta de um prop\xf3sito comum" ^fl                                       
    230 | twitter  | terremot | saariis                |   245 | terremoto terremoto traka traka @sbosque96                                                                                                  
    231 | twitter  | earthquake | Our_Green_Life         |   340 | geologist shawn willsey talks earthquake preparedeness http://t.co/zo5ory0i                                                                 
    232 | twitter  | terremot | Criss041               |   304 | terremoto!!!!!                                                                                                                              
    233 | twitter  | terremot | tony_polanco           |   233 | temblor? para mi fue terremoto :s                                                                                                           
    234 | twitter  | earthquake | NY_Lovee               |   476 | omgg. their wass an earthquake.                                                                                                             
    235 | twitter  | terremot | danydibu               |   548 | si fue terremoto!.. omd                                                                                                                     
    236 | twitter  | earthquake | EarthAlerts            |  1198 | #earthquake: m 4.1 - north america canada [british columbia] prince rupert: preliminary earthquake report:da... http://t.co/n6nkrflc        
    237 | twitter  | terremot | freddy_josue27         |   224 | terremoto!!                                                                                                                                 
    238 | twitter  | terremot | danielsilvah           |   146 | terremoto?                                                                                                                                  
    239 | twitter  | terremot | aardon                 |   111 | terremoto?                                                                                                                                  
    240 | twitter  | terremot | by__karen              |   191 | terremoto                                                                                                                                   
    241 | twitter  | terremot | Just_Liquez            |   171 | casi, casi terremoto....                                                                                                                    
    242 | twitter  | terremot | lizmargarcia           |    55 | @prensa_libre fue terremoto! fuerte diice temblor dice! terremoto!                                                                          
    243 | twitter  | terremot | MishiMartinez          |   119 | puuuuuta eso fue un pre terremoto                                                                                                           
    244 | twitter  | terremot | diegopolanco16         |   247 | pta q fue eso? un terremoto? estoy tamblando!                                                                                               
    245 | twitter  | terremot | MarguisGonzalez        |   175 | cre\xed que era terremoto :s                                                                                                                
    246 | twitter  | terremot | mariagabbs             |   201 | madre esa cosa fue terremoto                                                                                                                
    247 | twitter  | terremot | SiliezarP_             |    51 | si esta temblando y parece terremoto, \xa1yasabemos!                                                                                        
    248 | twitter  | terremot | MarWell15              |   121 | ese no fue temblor, ese fue terremoto. boto cosas de vidrio en mi casa...                                                                   
    249 | twitter  | terremot | gardovasquez           |   114 | terremoto terremoto tron\xf3 tron\xf3 8'                                                                                                    
    250 | twitter  | terremot | pablo5lopez            |   171 | puchica esa onda fue terremoto !                                                                                                            
    251 | twitter  | earthquake | _Morenaza242           |   102 | noooooo mann this earthquake is doing the mostt!!! #homewardbound                                                                           
    252 | twitter  | terremot | eledugordillo          |    80 | santo terremoto                                                                                                                             
    253 | twitter  | terremot | baby217                |    67 | eso pudo haber sifo terremoto que largo :(                                                                                                  
    254 | twitter  | terremot | srLuisfer              |   195 | @juarez_da eso fue terremoto!!! jajaja                                                                                                      
    255 | twitter  | terremot | oliverpegaso           |    58 | terremoto :s                                                                                                                                
    256 | twitter  | terremot | mechesalonzo           |   261 | senti que iba a ser terremoto                                                                                                               
    257 | twitter  | terremot | marisfull              |   185 | el tweet del p\xe1nico jajaja rt "@potterclubo: terremoto!!"                                                                                
    258 | twitter  | terremot | caroline_iz            |   120 | madreeee.. pinche casi terremoto..                                                                                                          
    259 | twitter  | terremot | PabloMindless          |   209 | jajaja no mamen una replica de terremoto, se sintio culero y aparte se cayo una tele... bieeeeen.                                           
    260 | twitter  | earthquake | ACminaj95              |   628 | @ohmyjewels did you feel the earthquake??                                                                                                   
    261 | twitter  | earthquake | jrichey17              |   169 | ceo of a healthcare co just said that if obamacare was measured like an earthquake, it would be a 12.5 with the amount of damage it will do 
    262 | twitter  | terremot | aah_itsveero           |   605 | pute que temblor m\xe1s horrible :s puro terremoto.                                                                                         
    263 | twitter  | terremot | medicenlacoco          |   532 | terremoto?                                                                                                                                  
    264 | twitter  | terremot | Efraslider             |   120 | ese temblor parecia mas terremoto                                                                                                           
    265 | twitter  | terremot | El_Rex_                |  2275 | acaba de haber un terremoto pero rico aqu\xed, ap\xfarense a tuitearlo y as\xed vamos a la salida de emergencia todos.                      
    266 | twitter  | terremot | FrederickDiaz3         |    44 | terremoto omg!!!                                                                                                                            
    267 | twitter  | terremot | NotAFairytale_         |   189 | \xbfeso fue un temblor... o un terremoto? creo que es el m\xe1s fuerte y el m\xe1s largo que he sentido en mi vida.                         
    268 | twitter  | terremot | kamoore19              |    59 | pens\xe9 que iba a ser terremoto o algo esa babosada :s                                                                                     
    269 | twitter  | terremot | Kargamez               |    83 | ya le ped\xed perdon a dios por mis pecados... que fuerte ese temblor, solo me record\xf3 el terremoto del 2001 en el salvador :s           
    270 | twitter  | terremot | Dianalarcoon           |   202 | rt @eltipicochapin: a la gran puta aqu\xed en huehue se sinti\xf3 puro terremoto.                                                           
    271 | twitter  | terremot | JoseanBP               |   119 | usualmente no pongo tweets despues de los temblores pero ese se sintio como terremoto!!                                                     
    272 | twitter  | terremot | titusvillela           |    23 | terremoto??? q feo!!!                                                                                                                       
    273 | twitter  | terremot | Colochos_              |   167 | rt @thathing1: pense que iva a ser terremoto u.u                                                                                            
    274 | twitter  | terremot | JoshWiccan             |   900 | puta! ese si que fue temblor! que fuerte esa mierda, y no paraba! puro terremoto! wahaha! sacudanse bitches! :p                             
    275 | twitter  | terremot | AficionadoXapin        |    23 | que fuerte sintieron el terremoto dinos donde te encuentras                                                                                 
    276 | twitter  | terremot | RuthNMartinez          |   387 | terremoto :'(                                                                                                                               
    277 | twitter  | terremot | ShitEpicness           |   483 | 5 segundos mas y casi terremoto estoooo! aaaaaahhh                                                                                          
    278 | twitter  | earthquake | JoshWarrun             |   308 | "...i'm sorry sir, please hang on one moment. we're having an earthquake." - @orbitz operator #ihopetheyareallright                         
    279 | twitter  | earthquake | worldhazards           |   665 | #earthquake m 2.9, arizona: november 07, 2012 08:31:34 gmt http://t.co/xnibx2v4                                                             
    280 | twitter  | earthquake | worldhazards           |   665 | #earthquake m 2.9, puerto rico region: november 07, 2012 14:16:08 gmt http://t.co/educdayk                                                  
    281 | twitter  | terremot | jessicalissie          |   825 | ok este temblor parec\xeda terremoto que horrible!!!!!!!                                                                                    
    282 | twitter  | earthquake | worldhazards           |   665 | #earthquake m 4.1, queen charlotte islands, canada region: november 07, 2012 15:04:23 gmt http://t.co/zage4jtw                              
    283 | twitter  | terremot | raniiss                |   635 | @chia_melini yo tambi\xe9n pens\xe9 que era terremoto :(                                                                                    
    284 | twitter  | terremot | LaunicaLunatica        |   736 | yo si pens\xe9 que era terremoto :(                                                                                                         
    285 | twitter  | earthquake | Pechocho4              |   156 | holy shit an earthquake just happened #elsalvador                                                                                           
    286 | twitter  | earthquake | CValdizan              |   811 | omg! this was a grave earthquake! #earthquake                                                                                               
    287 | twitter  | terremot | u4thegroove            |    52 | puta fue temblor o terremoto esto?                                                                                                          
    288 | twitter  | earthquake | NickMoran93            |   202 | november challenge: hurricane-check. winter storm-check. tornado, volcano, earthquake, finding gas and a cherry valley sandwich: pending    
    289 | twitter  | terremot | iMajoGarcia            |   404 | \u201c@thathing1: pense que iva a ser terremoto u.u\u201d o/ :( :(                                                                          
    290 | twitter  | terremot | freddoarmas            |   287 | esa mierda fue un terremoto                                                                                                                 
    291 | twitter  | terremot | NeerdMonster           |  1414 | definitivamente sobrevivo a un terremoto cuando vi que no paso sal\xed corriendo xd                                                         
    292 | twitter  | terremot | Maynor_Alfonso         |    98 | creo que es lo mas cercano a un terremoto:s estoy mareado                                                                                   
    293 | twitter  | terremot | Pulga_Ruiz             |   572 | pooooor la vida de las zorrassss! pense que iba a ser un terremoto.                                                                         
    294 | twitter  | terremot | Juanchorama            |   114 | pens\xe9 que era terremoto!!!                                                                                                               
    295 | twitter  | earthquake | Karla_xDxP             |   142 | mini heart attack! earthquake! i freaked out! then i started screaming "tht was awesome"                                                    
    296 | twitter  | gempa bumi | wahyubran              |   545 | rt @djatmikoadjie pekok!! hahaa rt @wahyubran: barack obama dulu dilahirkan di pengungsian waktu ada gempa bumi. istrinya triak2 ...        
    297 | twitter  | terremot | Henryvartiainen        |   184 | parec\xeda terremoto :(                                                                                                                     
    298 | twitter  | terremot | ItsMe_Pili             |   255 | y si esto es terremoto todos se mueren por twitearlo.                                                                                       
    299 | twitter  | earthquake | ale_rivera97           |    34 | oh god ! #earthquake                                                                                                                        
    300 | twitter  | terremot | namekatz               |   110 | esa shet fue terremoto!! thouars                                                                                                            
    301 | twitter  | terremot | marioreneperez         |    70 | pense q iba a ser un terremoto!                                                                                                             
    302 | twitter  | terremot | xmariona               |   428 | terremoto?                                                                                                                                  
    303 | twitter  | terremot | AstridM12              |    25 | madre! q gran temblor hoy si pense q iba a ser terremoto                                                                                    
    304 | twitter  | earthquake | meowtree               |  5294 | just had a gentle reminder i'm back in earthquake country.                                                                                  
    305 | twitter  | earthquake | HeartOf_AKing17        |    88 | after that mini earthquake i think its time for my ass to get up out of bed.                                                                
    306 | twitter  | earthquake | minnesotasport         |   439 | #nfl 4.2-magnitude quake reported off ore.-calif. coast: a 4.2-magnitude earthquake has struck in the ... http://t.co/rwylf2gb #football    
    307 | twitter  | terremot | willywolf              |    23 | rt @la_tenchs: moriremooooossss  terremoto!!!                                                                                               
    308 | twitter  | earthquake | rdenning               |  1122 | wow. that was the longest/strongest earthquake i've ever experienced.                                                                       
    309 | twitter  | earthquake | nightraypride          |   164 | jesus fuck that earthquake was fucking strong                                                                                               
    310 | twitter  | terremot | evecgalindo            |   163 | pense que iba a ser terremoto :( que fuerte esa mierda                                                                                      
    311 | twitter  | terremot | MariandreCalvo         |   435 | pense que era terremoto :(                                                                                                                  
    312 | twitter  | terremot | YayoAlas               |   178 | juelaaagranp*ta!! terremoto                                                                                                                 
    313 | twitter  | terremot | XimenaVilleda_B        |   364 | terremoto!? en mi casa cayeron las lamparas!!                                                                                               
    314 | twitter  | terremot | MARlELOS               |  1381 | verga terremoto en el pasaje enriquez. me cage. me cage.                                                                                    
    315 | twitter  | earthquake | Worldpeaceb421         |    10 | going thru a lonnnnng earthquake right now.   mmmm  i feel like im back in l a already                                                      
    316 | twitter  | earthquake | Limon06                |    36 | crazy earthquake in san cris! sitting in the toilet wondering why the planet was shaking...                                                 
    317 | twitter  | terremot | maxquile               |   491 | puuuuuuuuta. ya fue terremoto o que?                                                                                                        
    318 | twitter  | earthquake | mexicoguide            |  4256 | earthquake just now in #oaxaca. just a little shaking, not too strong.                                                                      
    319 | twitter  | earthquake | LedoKevin              |   251 | whhaaaaa!!  first earthquake!! felt like we were on a boat for 30 seconds!                                                                  
    320 | twitter  | earthquake | Hildebrand_R           |   101 | strong earthquake in guatemala just now!                                                                                                    
    321 | twitter  | earthquake | SofiLovesCher          |   396 | horrible earthquake! omg! it was really long and strong!                                                                                    
    322 | twitter  | earthquake | PA_Hardhead            |   252 | so we having a conference call wit our manager and sup since they are in guatemala... and a earthquake just happend over there \U0001f633   
    323 | twitter  | terremot | DreaaLicardie          |   363 | eso fue terremoto                                                                                                                           
    324 | twitter  | terremot | guille0811             |   109 | rt @la_tenchs: moriremooooossss  terremoto!!!                                                                                               
    325 | twitter  | terremot | Andre_ck               |   183 | d: que feo!! eso fue casi terremoto! #fb                                                                                                    
    326 | twitter  | earthquake | norcalquakes           |   189 | #earthquake 4.2-magnitude quake reported off oregon-california coast: the u.s. geological survey said the quake ... http://t.co/9rujeavv    
    327 | twitter  | earthquake | californiaquake        |   816 | #earthquake 4.2-magnitude quake reported off oregon-california coast: the u.s. geological survey said the quake ... http://t.co/e9tacop7    
    328 | twitter  | earthquake | CalEarthquakes         |   328 | #earthquake 4.2-magnitude quake reported off oregon-california coast: the u.s. geological survey said the quake ... http://t.co/tp3xx4os    
    329 | twitter  | terremot | cHiBi_aLiEn            |   158 | rt @huishte: pues no, no fue terremoto, pero fue laaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaargo.                                              
    330 | twitter  | earthquake | FrenchieGlobal         |  1098 | the ground is shaking #earthquake                                                                                                           
    331 | twitter  | terremot | jpa9523                |    31 | @richihuertas puta aqu\xed en el 6to se sinti\xf3 puro terremoto esa cosa jaja                                                              
    332 | twitter  | terremot | carlosalejand          |   203 | que grueso! todavia siento que me muevo #temblorgt casi terremoto fue este                                                                  
    333 | twitter  | terremot | fraklas                |    85 | eso iba ser terremoto d:                                                                                                                    
    334 | twitter  | earthquake | Mason_Vance18          |   320 | @ryan3300 no earthquake more like the starting of a #civilwar just be thankful for all the check drawers and black vote #whatsleftofamerica 
    335 | twitter  | terremot | JSVillegass            |  1598 | carajooo quien sintio ese terremoto? jajaja que miedo!                                                                                      
    336 | twitter  | earthquake | notjustSEO             |   313 | holy crap...earthquake!                                                                                                                     
    337 | twitter  | terremot | _ErikGiovanni          |  3488 | la verdad pens\xe9 que era un terremoto....                                                                                                 
    338 | twitter  | terremot | MyWorld_isU            |    88 | rt @elver_guudo: \xa1\xa1\xa1terremoto!!!                                                                                                   
    339 | twitter  | earthquake | stephdau               |  1817 | oh online at @automattic: "earthquake... brb". -- @jcakec                                                                                   
    340 | twitter  | terremot | coaty38                |   215 | rt @maxquile: puuuuuuuuta. ya fue terremoto o que?                                                                                          
    341 | twitter  | terremot | HeyColocho             |   139 | terremoto?!                                                                                                                                 
    342 | twitter  | earthquake | alexainheaven          |  1065 | omg earthquake                                                                                                                              
    343 | twitter  | earthquake | Sx801x                 |   211 | @rodswaste earthquake?                                                                                                                      
    344 | twitter  | terremot | tefodrg95              |   161 | terremoto!! :s                                                                                                                              
    345 | twitter  | earthquake | xXxAzraelxXx           |    20 | and cue earthquake tweets on guatemala.                                                                                                     
    346 | twitter  | terremot | faferfi                |   271 | que lindo el temblor, casi terremoto \u263a                                                                                                 
    347 | twitter  | terremot | Juaner_14              |   242 | no es que sea ave de mal ag\xfcero pero, ya pasaron m\xe1s de 10 a\xf1os del \xfaltimo terremoto, ese vergazo ya va caer por aqu\xed :(     
    348 | twitter  | terremot | dani_arredondo7        |   176 | rt @marwell15: ese no fue temblor, ese fue terremoto. boto cosas de vidrio en mi casa...                                                    
    349 | twitter  | earthquake | HotCanadianCock        |  3608 | oh shit now that obama has one prepare yourselves for the earthquake cos obama is about to twerk on romney and shawty got a ghetto booty.   
    350 | twitter  | earthquake | HEWSweb                |   561 | #earthquake: at 3:04 pm utc, in queen charlotte islands there was a #seismic activity: m4.1, depth 10.00km http://t.co/nvthnbui             
    351 | twitter  | earthquake | StylebyRed             |   640 | ahhhhhhhhhhhhhhh earthquake!!! ahhhhhhhhh i'm in a 17th floor!!! ahhhhhhhhhhhhhh                                                            
    352 | twitter  | terremot | maijo21                |   292 | juro qu\xe9 hoy si pens\xe9 que era terremoto!                                                                                              
    353 | twitter  | terremot | ManiVelasco            |   210 | terremoto!!!!!                                                                                                                              
    354 | twitter  | earthquake | SpringinEM_            |   223 | a hurricane a earthquake and a snowstorm in about a week..all this doesn't raise any questions?                                             
    355 | twitter  | terremot | me_luceroO             |   114 | que horror! :'/ fue como terremoto , que feo :s                                                                                             
    356 | twitter  | terremot | HPleitesM              |   344 | terremoto debido a #aviciisv!!!                                                                                                             
    357 | twitter  | terremot | Xaviergonvass          |    78 | @caroline_iz casi terremoto??                                                                                                               
    358 | twitter  | terremot | rodrigo_0910           |    94 | rt @elver_guudo: \xa1\xa1\xa1terremoto!!!                                                                                                   
    359 | twitter  | terremot | Honeycitta             |    74 | jupu... ahora si sentia que se venia el terremoto =s...mayas tengo miedo!!!                                                                 
    360 | twitter  | terremot | __Maricruz             |   474 | \xbfeso fue terremoto?                                                                                                                      
    361 | twitter  | terremot | kukugt                 |   214 | ese #temblorgt siento que pudo ser un terremoto :s   y alli si ya no es bonito.... :s                                                       
    362 | twitter  | terremot | vicayala               |   292 | eso fue casi terremoto...                                                                                                                   
    363 | twitter  | terremot | namekatz               |   110 | esa cosa fue terremoto!!!                                                                                                                   
    364 | twitter  | terremot | _MassielM              |   236 | cre\xed que hoy si ya me llegaba el turno de sentir un terremoto                                                                            
    365 | twitter  | earthquake | allanhurdler           |   157 | fuuckkkkk!! earthquake!!                                                                                                                    
    366 | twitter  | terremot | Godoy7Eduardo          |   231 | yo pense que seria terremoto, que si no oo                                                                                                  
    367 | twitter  | terremot | LoserEnSerie_          |   516 | casi terremoto y miamor en el ba\xf1o jajajajajajajajajajaja *llora poquito del miedo* @emlo_emilio                                         
    368 | twitter  | earthquake | nainocarD              |    30 | earthquake in guatemala city!!  as we sit at a light headed to the airport for our flight to maryland. wow!!                                
    369 | twitter  | terremot | Vos_Miguel             |   125 | hubo terremoto terremoto traka traka traka !                                                                                                
    370 | twitter  | earthquake | KOLO8                  |  5415 | 4.2-magnitude quake reported off ore.-calif. coast: a 4.2-magnitude earthquake was reported wednesday morning in... http://t.co/fcwwt0xa    
    371 | twitter  | earthquake | MissTomlistyles        |   379 | oh my god an earthquake!! :|                                                                                                                
    372 | twitter  | terremot | fidoguido              |    99 | como se sabe si es un temblor o terremoto?? no se si tembl\xf3 mas la tierra o yo!! sigo temblando                                          
    373 | twitter  | earthquake | Edder3101              |    79 | @brizeidais do you have a new stalker! or just me! oh! my god earthquake wow do you feel that :/                                            
    374 | twitter  | earthquake | ea32da32               |   317 | rt @californiaquake: #earthquake 4.2-magnitude quake reported off oregon-california coast: the u.s. geological survey said the quake ... ...
    375 | twitter  | earthquake | xaban                  |    42 | whoah... that was quite an earthquake!!                                                                                                     
    376 | twitter  | terremot | MilooAguilar           |   460 | @teveogeek \xbfterremoto o temblor?                                                                                                         
    377 | twitter  | earthquake | RoroKrla               |   157 | earthquake?                                                                                                                                 
    378 | twitter  | terremot | moolinaandrea12        |   166 | me arraleeeeee :'( :'( que horrribleee!!! ya lo declararon terremoto :o :(:(::( que miedooo!!! me cantee                                    
    379 | twitter  | terremot | evilishme              |   144 | casi terremoto!                                                                                                                             
    380 | twitter  | earthquake | juliaarreaga           |    82 | oh my goodness there was an earthquake here in guatemala, not a bad one but a very long and strong one! thank god nothing happened!         
    381 | twitter  | terremot | einsamerMannGua        |    14 | @glendacnn temblor casi terremoto en guatemala ciudad.. no hay datos preliminares... !!!                                                    
    382 | twitter  | terremot | cristymarz             |   140 | @andreedubois jure q iba a ser terremoto que horrible                                                                                       
    383 | twitter  | earthquake | OscarAdanOL            |    38 | wtf! i just felt my first earthquake! it wasnt big, but still weird                                                                         
    384 | twitter  | terremot | transformafilms        |  5553 | en el quinto piso del edificio terremoto o temblor se sinti\xf3 muy fuerte en san salvador!                                                 
    385 | twitter  | terremot | ale_degandarias        |    88 | hoy me di cuenta que no estoy preparado para un terremoto! no supe que hacer! me quede quieto! :/                                           
    386 | twitter  | terremot | JaimeQ                 |   260 | yo sigo aplicando las del video del terremoto de costa rica cada vez que tiembla #estatemblandofuertisimoenestemomento                      
    387 | twitter  | terremot | MatePineda             |   541 | teemblooooorr! terremoto!!!!!!!                                                                                                             
    388 | twitter  | terremot | AB_Giron               |   141 | puta madre esa mierda fue terremoto casi mebda el infarto                                                                                   
    389 | twitter  | terremot | Joanneh1987            |   355 | mi mam\xe1 cree que fue terremoto y yo nahhh yo creo que fue solo un fuerte sismo                                                           
    390 | twitter  | earthquake | pandaa1207             |    27 | whats up with this weather?? is there an earthquake in the near future???....                                                               
    391 | twitter  | earthquake | Danilomiron            |   200 | evacuating buildings. earthquake in guatemala, no known casualties                                                                          
    392 | twitter  | earthquake | BionicGT               |  1324 | earthquake in guatemala. it wasn't strong but it lasted for almost 40 seconds???                                                            
    393 | twitter  | earthquake | Vickhthor              |   223 | earthquake  !!!                                                                                                                             
    394 | twitter  | earthquake | RodrigoSamano          |  1365 | earthquake!!! #again? #wtf!                                                                                                                 
    395 | twitter  | earthquake | Ernestime              |   511 | earthquake                                                                                                                                  
    396 | twitter  | earthquake | DarrenChannel          |   934 | mini earthquake in mexico city right now?                                                                                                   
    397 | twitter  | terremot | VicRoddz               |   110 | que temblor terremoto lo que haya sido que pelao\xb4 !!!                                                                                    
    398 | twitter  | terremot | MrDiegoCarpio          |   296 | estuve a punto de gritar: terremoto! mejor me ba\xf1o antes que venga otro y salga enjabonado a la calle                                    
    399 | twitter  | earthquake | JoshWarrun             |   308 | @orbitz service is amazing. they apologized to me after an earthquake shook their #guatemala call center mid call. #smoothoperator          
    400 | twitter  | terremot | Susy_Salazar96         |   273 | rt @la_tenchs: moriremooooossss  terremoto!!!                                                                                               
    401 | twitter  | terremot | nickdjb                |   204 | rt @lopezcano_5: hoy si pens\xe9 que se venia un terremoto.                                                                                 
    402 | twitter  | earthquake | UghItsNatartar         |   188 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    403 | twitter  | terremot | chepe264               |   114 | puuutaaaaa eso fue terremoto                                                                                                                
    404 | twitter  | terremot | NiggaLuis_             |   756 | terremoto ;)                                                                                                                                
    405 | twitter  | earthquake | claudialqh             |    40 | @sandylion78. there was a fucking earthquake second ago!!!!!                                                                                
    406 | twitter  | earthquake | alexkattar             |   509 | earthquake! yikes!                                                                                                                          
    407 | twitter  | terremot | JA_Ochoita             |   638 | #ojoaldato temblor y terremoto son sin\xf3nimos. ninguno representa intensidad. es decir, acaba de temblar. o de haber un terremoto.        
    408 | twitter  | terremot | crisbalca              |   108 | nunca hab\xeda sentido un temblor tan grande... haha casi terremoto!                                                                        
    409 | twitter  | terremot | Gescol                 |  1575 | gano obama. terremoto.                                                                                                                      
    410 | twitter  | terremot | lghf_md                |     5 | @penchoyaida adonde habra sido el terremoto?                                                                                                
    411 | twitter  | terremot | rodri7go               |   544 | si empieza el terremoto? quien escribir\xe1 primero ?                                                                                       
    412 | twitter  | earthquake | iNafMan                |   188 | all we need now is an earthquake and a volcano n shit n jersey can cross them shits off our list                                            
    413 | twitter  | terremot | gabys8                 |   414 | pense que era terremoto asi sin bromas!!!!                                                                                                  
    414 | twitter  | earthquake | HKOQEXPE               |     1 | earthquake: 2012-11-08 00:36hkt m7.0 [14.1n,92.2w] near coast of chiapas, mexico http://t.co/spd5dhwe                                       
    415 | twitter  | earthquake | kushncupcakez          |   495 | @minasmusings ohhhh it was messing with earthquake time? :p                 
